,Hotel Name,Rating,Rating Group,Free WiFi,Airport Shuttle,Distance From Airport,Restaurant,Private Parking,Bar,Non Smoking Rooms,Pet Friendly,Elevator
2087,Charme Spagna Boutique Hotel,8.9,3.0,True,True,14.7,False,False,False,True,True,False
2088,LA LOCANDA DELL'ARTE-DE GASPERI,8.4,3.0,True,True,4.6,False,True,False,True,False,False
2089,Albergo San Marco,8.1,3.0,True,True,7.8,False,False,True,True,False,True
2090,Venice Maggior Consiglio,8.9,3.0,True,True,7.1,False,False,False,True,False,False
2091,B&B Tecla,9.1,3.0,True,False,4.5,False,False,False,True,True,True
2092,Hotel Antiche Figure,9.4,3.0,False,False,7.3,False,False,True,True,False,True
2093,Ca' Badoer Family,9.6,3.0,True,False,7.5,False,False,False,True,True,True
2094,SuitInn19,8.7,3.0,True,True,13.8,False,False,False,True,True,True
2095,Hotel Giorgina,7.8,3.0,True,False,13.4,False,False,False,True,True,False
2096,Casa Celeste Aida,9.2,3.0,True,False,3.7,False,False,False,True,True,False
2097,Le Tre Stanze,9.4,3.0,True,False,5.7,False,True,False,True,False,False
2098,Hotel Lorena,8.4,3.0,True,False,5.2,False,False,False,False,True,True
2099,Loft da Sogno Templars'f Home,9.3,3.0,True,True,5.9,False,True,False,True,False,False
2100,Toledo Stay OK,8.6,3.0,True,True,4.9,False,False,False,True,True,True
2101,La Casa Sul Nilo,9.1,3.0,True,False,4.0,False,True,False,True,False,True
2102,b&b Florence Cathedral,9.2,3.0,True,False,5.7,False,True,False,True,True,True
2103,Cenci Bed & Breakfast Fontana di Trevi,8.2,3.0,True,True,14.4,False,False,False,True,False,False
2104,Napoli DownTown,9.0,3.0,True,True,4.8,False,True,False,True,True,False
2105,QUEEN MEDINA Centro Storico,9.5,3.0,True,False,4.8,False,True,False,True,False,True
2106,Linda Musei Vaticani,9.5,3.0,True,True,16.6,False,True,False,True,False,True
2107,Royal Suite Trinità Dei Monti,8.6,3.0,True,True,14.9,False,False,True,True,False,False
2108,Hotel Piccolo Borgo,8.0,3.0,True,True,4.3,False,True,True,False,False,False
2109,Borgo Vergini Garden B&B,9.4,3.0,True,True,3.4,False,True,True,True,True,False
2110,Ca' Ermina & Garden,9.3,3.0,True,False,7.6,False,False,False,True,False,False
2111,San Peter Raffy's House,9.3,3.0,True,True,16.7,True,True,True,True,False,False
2112,Hotel Teatro Pace,8.5,3.0,True,False,14.8,False,False,False,True,True,False
2113,Hotel Canada,9.0,3.0,True,True,13.7,False,True,True,True,False,False
2114,Trastevere Luxury Design Apartment,9.1,3.0,True,True,14.1,False,False,False,False,False,False
2115,L'oro di Napoli,9.3,3.0,True,False,5.7,False,False,False,True,False,True
2116,Hotel Imperiale,8.1,3.0,True,True,14.5,True,False,True,True,False,False
2117,Hotel Kraft,8.9,3.0,True,False,4.5,False,True,True,True,True,False
2118,Residenza La Scala,9.2,3.0,True,False,3.5,False,True,False,True,False,True
2119,Suite CuoreNapoletano,9.4,3.0,True,True,3.5,False,True,False,True,False,True
2120,Loggiato Dei Serviti,8.6,3.0,True,False,5.6,False,True,True,True,False,False
2121,NH Roma Villa Carpegna,8.1,3.0,True,False,16.3,False,True,True,True,True,False
2122,Hotel Garda,7.4,2.0,True,True,14.8,False,True,False,True,False,False
2123,Oltrarno Splendid,9.6,3.0,True,False,5.2,False,True,False,True,False,True
2124,Villa San Martino,9.4,3.0,True,False,5.3,False,True,False,True,False,False
2125,Hotel Pineta Palace,7.7,3.0,True,False,19.4,False,True,False,True,False,True
2126,Palazzo Nainer,9.4,3.0,True,True,15.5,False,False,True,True,False,False
2127,Albergo Cavalletto & Doge Orseolo,7.9,3.0,True,False,7.9,False,False,True,True,False,True
2128,Biennale Appartamento grande,8.0,3.0,True,False,8.3,False,False,False,True,True,False
2129,LHP Hotel River & SPA,8.2,3.0,True,False,6.7,True,True,True,True,True,False
2130,Prassede Palace Hotel,8.8,3.0,True,True,13.2,True,False,True,True,True,False
2131,Palazzo 15,8.9,3.0,True,True,4.0,False,True,False,True,False,False
2132,La Porta Rossa di Borgo - Vatican Luxury Suite,9.8,3.0,True,False,15.8,False,False,False,True,True,False
2133,Viadelloca35,10.0,3.0,True,True,15.6,False,False,False,True,False,True
2134,Home at Rome Vatican Suites,9.1,3.0,True,True,15.6,False,False,False,True,True,False
2135,"The Hoxton, Rome",9.1,3.0,True,False,15.3,True,False,True,True,True,False
2136,Venice Biennale Garibaldi,8.2,3.0,True,True,8.2,False,False,False,True,False,False
2137,Luxury & Charme Colosseo,9.7,3.0,True,True,13.3,False,False,False,True,False,True
2138,Loft Deluxe Dante House,10.0,3.0,True,False,5.7,False,False,False,False,False,False
2139,Live and Love,9.4,3.0,True,False,2.8,False,False,False,False,True,True
2140,Il Miracolo,9.1,3.0,True,False,3.4,False,True,False,True,True,False
2141,Marignolle Relais & Charme - Residenza d'Epoca,8.8,3.0,True,False,6.7,False,True,True,True,False,False
2142,DOM Hotel Roma - Preferred Hotels & Resorts,8.8,3.0,True,True,15.0,False,True,True,True,True,False
2143,Locanda SS. Giovanni e Paolo,8.5,3.0,True,False,7.4,False,False,False,True,False,False
2144,Schilizzi Hotel,7.8,3.0,True,False,4.6,False,False,True,True,False,True
2145,Alla Corte Rossa,8.8,3.0,True,False,7.9,False,False,False,True,True,False
2146,Venezia Residence,7.3,2.0,True,False,7.3,False,True,False,True,False,False
2147,Domus Rosa,9.6,3.0,True,True,3.9,False,True,True,True,True,False
2148,Holidays Suites Navona,9.1,3.0,True,True,14.9,False,False,False,True,False,True
